NodeId,Entropy
historian_scanVuln,0.9998153271549208
DMZ_scanIP,0.9998153271549208
workStation_compromise,0.9998153271549208
historian_remoteSrvc,3.0446502999483194
historianServer_shell,3.156039721742226
historianServer_NodeOR1,3.156039721742226
historianServer_addSSHkey,3.8884072695534937
historianServer_remoteShellAND,3.8884072695534937
tomcatWebServer_bruteForce,4.806379600986081
historianServer_remoteShell,4.902631440434668
IED1_DERfailure,5.348839884521274
MMSserver1_NodeAND23,5.348839884521274
MMSserver1_unauthCmdMsg,5.348839884521274
MMSclient1_AND52,5.348839884521274
MMSserver1_spoofRepMsg,5.348839884521274
MMSclient1_credAcc,5.348839884521274
MMSserver1_AITM,5.348839884521274
MMSclient1_unsecCred,5.371780169651666
MMSclient1_modAuthProc,5.386834830864357
stationComputer_shell,5.456418042630014
virtualEng_escapeHost,5.46851244177034
